dx; dy; l_max; epsilon
0.00660692; 0.00660692; 100000; 0.001
Iteration; Residual; Error
493; 12083.7; 1029.33
494; 12065.5; 1029.3
495; 12047.3; 1029.26
496; 12029.2; 1029.22
497; 12011.2; 1029.19
498; 11993.3; 1029.15
499; 11975.4; 1029.11
500; 11957.6; 1029.08
501; 11939.8; 1029.04
502; 11922.1; 1029
503; 11904.5; 1028.97
504; 11886.9; 1028.93
505; 11869.4; 1028.9
506; 11851.9; 1028.86
507; 11834.5; 1028.82
508; 11817.2; 1028.79
509; 11799.9; 1028.75
510; 11782.7; 1028.71
511; 11765.5; 1028.68
512; 11748.4; 1028.64
513; 11731.4; 1028.61
514; 11714.4; 1028.57
515; 11697.4; 1028.53
516; 11680.6; 1028.5
517; 11663.8; 1028.46
518; 11647; 1028.43
519; 11630.3; 1028.39
520; 11613.7; 1028.36
521; 11597.1; 1028.32
522; 11580.6; 1028.28
523; 11564.1; 1028.25
524; 11547.7; 1028.21
525; 11531.3; 1028.18
526; 11515; 1028.14
527; 11498.7; 1028.11
528; 11482.5; 1028.07
529; 11466.4; 1028.03
530; 11450.3; 1028
531; 11434.2; 1027.96
532; 11418.2; 1027.93
533; 11402.3; 1027.89
534; 11386.4; 1027.86
535; 11370.6; 1027.82
536; 11354.8; 1027.79
537; 11339.1; 1027.75
538; 11323.4; 1027.72
539; 11307.8; 1027.68
540; 11292.2; 1027.65
541; 11276.7; 1027.61
542; 11261.2; 1027.57
543; 11245.8; 1027.54
544; 11230.4; 1027.5
545; 11215.1; 1027.47
546; 11199.8; 1027.43
547; 11184.6; 1027.4
548; 11169.4; 1027.36
549; 11154.2; 1027.33
550; 11139.2; 1027.29
551; 11124.1; 1027.26
552; 11109.1; 1027.22
553; 11094.2; 1027.19
554; 11079.3; 1027.15
555; 11064.5; 1027.12
556; 11049.7; 1027.09
557; 11034.9; 1027.05
558; 11020.2; 1027.02
559; 11005.5; 1026.98
560; 10990.9; 1026.95
561; 10976.4; 1026.91
562; 10961.8; 1026.88
563; 10947.4; 1026.84
564; 10932.9; 1026.81
565; 10918.5; 1026.77
566; 10904.2; 1026.74
567; 10889.9; 1026.7
568; 10875.6; 1026.67
569; 10861.4; 1026.64
570; 10847.3; 1026.6
571; 10833.1; 1026.57
572; 10819.1; 1026.53
573; 10805; 1026.5
574; 10791; 1026.46
575; 10777.1; 1026.43
576; 10763.2; 1026.4
577; 10749.3; 1026.36
578; 10735.5; 1026.33
579; 10721.7; 1026.29
580; 10707.9; 1026.26
581; 10694.2; 1026.22
